Country,year2017,year2018,year2019,year2020,year2021,year2022,year2023,year2024,year2025,year2026,year2027
Bulgaria,2.9,3.1,3.2,3.5,3.6,4 ,3.8,3.8,3.9,3.9,3.9
Burkina Faso,0.9,1.2,1.6,2.2,2.6,3 ,3.2,3.4,3.7,3.9,4.2
Burundi,1.4,1.7,1.9,2.2,2.4,3 ,2.7,2.8,2.9,3,3.1
Cambodia,1.6,2,2.6,3.2,3.7,4 ,4.5,4.8,5.2,5.5,5.8
Cameroon,1.7,2.2,2.7,3.3,3.7,4 ,4.3,4.6,4.9,5.1,5.4
Canada,7.5,8.5,9.1,9.8,10.2,10 ,10.3,10.4,10.4,10.5,10.5
Chad,1.4,1.7,2.1,2.5,2.8,3 ,3.3,3.4,3.6,3.8,4
Chile,3.9,4.5,5,5.6,6,6 ,6.3,6.5,6.5,6.7,6.8
China,6.1,6.7,7.4,8,8.6,9 ,9.1,9.3,9.5,9.6,9.8
Colombia,5.4,5.9,6.4,6.9,7.4,8 ,7.8,7.9,8,8.1,8.2
Costa Rica,2.8,3.4,3.9,4.7,5.2,6 ,5.8,6.1,6.4,6.8,7.1
Croatia,4.3,4.5,4.8,5.3,5.6,6 ,5.9,6,6,6.1,6.2
Cuba,3,3.8,4.5,5.3,5.9,6 ,6.4,6.6,6.7,6.9,7.1
Cyprus,4.1,4.9,5.6,6.4,7,7 ,7.8,8.1,8.4,8.7,9
Czechia,7.8,8.7,9.2,9.8,10.2,11 ,10.7,10.9,11.1,11.3,11.5
Denmark,10.4,11,11.5,12.2,12.8,13 ,12.2,12,11.8,11.5,11.4
Dominican Republic,3.2,3.6,4,4.5,4.9,5 ,5.2,5.2,5.3,5.4,5.5
Ecuador,2.3,3.1,3.7,4.5,5,5 ,5.6,5.8,6,6.2,6.4
Egypt,2.3,3,3.8,4.7,5.5,6 ,6.7,7.2,7.7,8.2,8.8
El Salvador,2.4,3,3.7,4.4,4.9,5 ,5.6,5.8,6,6.2,6.5
Equatorial Guinea,2.2,2.9,3.4,4,4.3,4 ,4.5,4.6,4.6,4.7,4.7
Estonia,4.2,4.5,4.9,5.5,5.9,6 ,6.3,6.5,6.5,6.6,6.6
Ethiopia,0.9,1.2,1.6,2.2,2.7,3 ,3.4,3.7,4,4.2,4.5
Fiji,4.6,5,5.4,6.1,6.5,7 ,6.9,7,7.2,7.4,7.6
Finland,8.9,10.1,11.1,12.3,13.2,14 ,14.6,15,15.3,15.7,16.1
France,9.2,10.1,10.7,11.5,12,12 ,12.7,13,13.3,13.6,13.9
Gabon,2.1,2.6,3.1,3.8,4.3,5 ,4.9,5.2,5.4,5.7,6
Gambia,1.4,1.8,2.1,2.6,2.9,3 ,3.3,3.5,3.6,3.8,4
Georgia,2.1,2.7,3.4,4.1,4.7,5 ,5.3,5.6,5.8,6.1,6.3
Germany,8,9.5,10.4,11.1,11.5,12 ,11.8,12,12.1,12.2,12.5
Ghana,1.3,1.8,2.4,3.2,3.8,4 ,4.8,5.2,5.7,6.1,6.5
Greece,3.7,4.5,5.3,6.1,6.6,7 ,7.2,7.4,7.7,8,8.3
Guatemala,2.4,3.1,3.8,4.7,5.3,6 ,6.1,6.4,6.7,7.1,7.4
Guinea,1.2,1.5,1.8,2.2,2.5,3 ,3,3.2,3.4,3.7,3.9
Guyana,1.3,1.7,2.1,3.7,4.2,5 ,5.9,6.4,6.8,7.2,7.6
Haiti,1.2,1.5,1.9,2.4,2.7,3 ,3.1,3.3,3.4,3.6,3.7
Honduras,1.9,2.5,3,3.7,4.2,5 ,4.9,5.1,5.4,5.7,6
Hungary,4.1,4.3,4.5,4.9,5.2,5 ,5.3,5.4,5.5,5.5,5.5
Iceland,4.9,5.7,6.2,6.9,7.4,8 ,7.7,7.8,7.9,8.1,8.2
India,1.6,2,2.8,3.8,4.5,5 ,5.8,6.3,6.8,7.3,7.8
Indonesia,1.8,2.3,2.8,3.4,3.9,4 ,4.5,4.7,4.9,5.2,5.4
Iran,1.3,2,2.6,3.5,4.4,5 ,6,7,8.1,9.1,10.1
Iraq,1,1.5,2,2.5,2.9,3 ,3.4,3.6,3.8,4,4.2
Ireland,8.9,9.4,9.7,10,10.1,10 ,10.2,10.2,10.3,10.3,10.4
Israel,4.6,4.8,5.1,5.5,5.8,6 ,5.9,5.9,5.8,5.8,5.7
Italy,5,5.7,6.5,7.3,7.8,8 ,8.4,8.6,8.8,9,9.2
Ivory Coast,1.6,2.1,2.5,3.1,3.5,4 ,4.1,4.3,4.6,4.8,5
Jamaica,3,3.7,4.3,5.1,5.6,6 ,6.2,6.4,6.6,6.8,7
Japan,6.7,7.5,8,8.6,9,9 ,9.5,9.8,10,10.2,10.5
Jordan,3,3.7,4.4,5.3,5.9,6 ,6.6,7,7.3,7.6,8.2
Kazakhstan,2.7,3.5,4.2,5,5.5,6 ,6.3,6.6,6.9,7.3,7.9
Kenya,1.5,1.6,1.8,2,2.2,2 ,2.4,2.4,2.4,2.5,2.6
Kuwait,3.2,4.1,4.6,5.2,5.7,6 ,6.1,6.3,6.5,6.7,6.8
Kyrgyzstan,2,2.5,3,3.5,3.8,4 ,4.3,4.4,4.6,4.7,4.9
Laos,2.1,2.6,3.2,3.9,4.4,5 ,5.2,5.5,5.9,6.2,6.5
Latvia,3.6,3.9,4.2,4.6,4.9,5 ,5.2,5.3,5.4,5.5,5.5
Lebanon,3.1,3.5,4.2,4.9,5.4,6 ,5.9,6.1,6.3,6.6,6.8
Lesotho,2.4,2.9,3.4,4,4.4,5 ,4.8,5,5.2,5.3,5.5
Lithuania,5.7,6.9,7.7,8.6,9.1,10 ,10,10.3,10.6,11,11.4
Luxembourg,10.1,12.1,13.5,14.9,15.7,16 ,16.3,16.5,16.6,16.8,16.9
Madagascar,1.4,1.7,2.1,2.4,2.7,3 ,3.1,3.2,3.3,3.5,3.6
Malawi,1.6,1.9,2.2,2.5,2.8,3 ,3.1,3.3,3.4,3.5,3.7
Malaysia,3.8,4,4.3,4.6,4.9,5 ,5.1,5.1,5.1,5.1,5
Malta,3.5,3.9,4.3,4.8,5.1,5 ,5.4,5.6,5.7,5.8,6
Mauritius,2.6,3.1,3.7,4.4,4.9,5 ,5.6,5.9,6.1,6.4,6.7
Mexico,4,4.3,4.7,5.3,5.6,6 ,5.8,5.9,5.9,5.9,6
Moldova,3.1,3.7,4.4,5.2,5.7,6 ,6.5,6.8,7.1,7.5,7.8
Mongolia,1.9,2.5,3.1,3.8,4.4,5 ,5.2,5.5,5.8,6.1,6.4
Montenegro,3.8,4.8,5.7,6.7,7.3,8 ,8.1,8.3,8.6,8.8,9.1
Morocco,2,2.2,2.4,2.6,2.7,3 ,2.9,2.9,2.9,2.9,3
Mozambique,1.6,1.9,2.2,2.6,2.9,3 ,3.3,3.4,3.6,3.8,4
Myanmar,2,2.5,3.1,3.7,4.3,5 ,5,5.4,5.7,6.1,6.4
Namibia,2.3,3,3.8,4.8,5.6,6 ,6.9,7.4,7.9,8.5,9.1
Nepal,0.9,1.3,1.7,2.3,2.7,3 ,3.3,3.5,3.7,4,4.2
Netherlands,11,12.5,13.5,14.5,15.4,16 ,16.2,16.3,16.5,16.8,17
New Zealand,5.7,6.2,6.6,7.3,7.8,8 ,8.3,8.4,8.6,8.8,9
Nicaragua,1.5,2,2.6,3.3,3.7,4 ,4.4,4.7,4.9,5.2,5.4
Niger,0.5,0.8,1,1.4,1.6,2 ,2.1,2.3,2.5,2.6,2.8
Nigeria,0.9,1,1.1,1.2,1.4,1 ,1.5,1.5,1.5,1.6,1.6
North Macedonia,3.3,3.9,4.5,5.3,5.8,6 ,6.5,6.7,6.9,7.2,7.4
Norway,9,10.3,11.5,12.6,13.5,14 ,14.3,14.4,14.6,14.9,15.1
Oman,2.2,2.6,2.8,3.2,3.5,4 ,3.6,3.7,3.7,3.8,3.8
Pakistan,0.9,1,1.1,1.2,1.3,1 ,1.4,1.4,1.5,1.5,1.6
Panama,2.5,3.2,3.8,4.6,5.1,6 ,5.8,6.1,6.4,6.7,7
Papua New Guinea,2.3,2.8,3.4,4,4.4,5 ,5,5.2,5.4,5.6,5.7
Paraguay,2.2,2.8,3.4,4.2,4.8,5 ,5.5,5.8,6.1,6.4,6.7
Peru,1.7,1.9,2.1,2.4,2.7,3 ,2.9,3,3.1,3.2,3.3
Philippines,3,3.2,3.4,3.6,3.8,4 ,3.9,3.9,3.9,3.9,3.9
Poland,6.6,7.7,8.5,9.3,9.9,10 ,10.7,11.1,11.4,11.8,12.1
Portugal,9.1,10.3,11.1,11.9,12.6,13 ,13.6,14,14.3,14.8,15.3
Qatar,3.2,4.1,4.6,5.3,5.8,6 ,6.5,6.8,7.1,7.4,7.7
Republic of the Congo,1.4,1.8,2.4,2.9,3.2,3 ,3.5,3.7,3.8,3.9,4
Romania,3.2,3.4,3.5,3.8,4,4 ,4.1,4.1,4.2,4.2,4.2
Russia,5.5,6.2,6.9,7.7,8.3,8 ,8.2,8.4,8.6,8.9,9.1
Rwanda,2,2.5,3,3.5,3.9,4 ,4.4,4.6,4.8,5,5.3
Saudi Arabia,2.7,3.3,3.9,4.5,4.9,5 ,5.3,5.4,5.5,5.5,5.6
Senegal,1,1.4,1.9,2.6,3.1,4 ,4,4.3,4.7,5,5.3
Serbia,5.4,7,8.8,10.6,11.9,13 ,14.2,15.1,16,17,18.1
Seychelles,2.9,3.5,4.1,4.8,5.3,6 ,6.1,6.4,6.7,7,7.3
Sierra Leone,1.8,2.2,2.6,3.1,3.4,4 ,3.8,3.9,4.1,4.2,4.4
Singapore,5.2,5.7,6.1,6.9,7.3,7 ,7.6,7.7,7.8,7.9,7.9
Slovakia,4,4.2,4.5,4.9,5.2,5 ,5.4,5.5,5.6,5.6,5.6
Slovenia,2,2.2,2.4,2.7,2.8,3 ,2.9,3,3,3.1,3.1
South Africa,2.7,4.1,5.7,7.3,8.5,9 ,10.2,10.9,11.5,12.3,13
South Korea,9.5,10.6,11.4,12.4,13.2,13 ,13.7,13.9,14.1,14.3,14.4
Spain,9.1,10.7,11.7,12.7,13.4,14 ,14.4,14.8,15.1,15.6,16
Sri Lanka,2.3,3,3.7,4.6,5.2,6 ,6.1,6.6,7,7.4,7.8
Sudan,1.7,2,2.4,2.9,3.2,3 ,3.6,3.7,3.9,4,4.1
Suriname,1.9,2.3,2.8,3.5,4,4 ,4.6,4.9,5.1,5.4,5.6
Sweden,9.5,10.5,11.2,12.1,12.7,13 ,13.4,13.6,13.9,14.1,14.4
Switzerland,7.8,8.7,9.5,10.4,11.1,11 ,11.6,11.7,11.8,11.9,12
Tajikistan,1.5,1.8,2.1,2.5,2.7,3 ,3,3.1,3.2,3.3,3.4
Tanzania,0.7,1,1.4,2,2.4,3 ,3.2,3.5,3.8,4.2,4.5
Thailand,3.8,4.5,5.4,6.3,7,8 ,8,8.4,8.8,9.2,9.6
Timor-Leste,1.3,1.9,2.5,3.3,3.8,4 ,4.5,4.9,5.4,5.8,6.2
Togo,1,1.4,1.8,2.3,2.6,3 ,3.1,3.3,3.4,3.6,3.8
Tunisia,2.6,3.2,3.9,4.7,5.2,6 ,5.9,6.2,6.5,6.8,7.1
Turkey,4.8,7.1,8.7,10.2,11.2,12 ,12.6,13.1,13.6,14.2,14.8
Turkmenistan,1.6,2,2.4,2.9,3.2,4 ,3.7,3.8,4,4.1,4.3
Uganda,2,2.5,2.9,3.4,3.8,4 ,4.2,4.5,4.7,4.9,5.1
Ukraine,3.7,5.5,7.2,9.2,10.5,10 ,11.3,12.2,13.1,14.1,15
United Arab Emirates,3.3,3.9,4.1,4.5,4.8,5 ,5,5.2,5.3,5.4,5.6
United Kingdom,14.5,15.8,16.7,17.7,18.5,19 ,19.1,19.3,19.5,19.8,20
United States,13.7,16.1,17.9,19.7,20.9,21 ,21.9,22.2,22.5,22.9,23.2
Uruguay,3.6,4.4,5.1,5.9,6.6,7 ,7.3,7.6,7.9,8.2,8.5
Uzbekistan,0.7,1.1,1.5,2,2.4,3 ,3,3.3,3.5,3.7,3.9
Vietnam,2.4,2.8,3.1,3.5,3.7,4 ,4,4,4,4.1,4.2
Zambia,2.2,2.7,3.2,3.8,4.1,4 ,4.6,4.8,5,5.1,5.3
Zimbabwe,1.8,2.4,2.7,3,3.3,4 ,3.7,3.8,3.9,4.1,4.2
